"name","claimvalues","cpos","cdate","quote","parties","doc_id","rowid"
"Viktor Orban","[500,501]",-1,2015-09-03,"Gleichzeitig stemmt sich Orbán gegen die Einrichtung eines   Hotspots   zur Registrierung von Asylbewerbern  die die EU Kommission in Ungarn plant ","NA",145806,"C103"
"Viktor Orban","[500,501]",-1,2015-09-03," Das Problem ist kein europäisches Problem  das Problem ist ein deutsches Problem  niemand will in Ungarn bleiben  Alle wollen nach Deutschland    sagte er ","NA",145806,"C104"
"Volker Kauder","[500,509,800,801]",1,2015-09-03,"Ungarn müsse sich an das Dubliner Abkommen zur Aufnahme von Flüchtlingen halten  sagte er ","CDU",145806,"C105"
"Herbert Reul","[800,899]",1,2015-09-03,"Auch verbal muss Orbán abrüsten  fordert der CDU Europaabgeordnete Herbert Reul    Es muss endlich Schluss sein mit ungerechtfertigten Schuldzuweisungen  die das Klima vergiften und die so bitter notwendige Solidarität aller EU Staaten aufs Spiel setzen  ","CDU",145806,"C106"
"Herbert Reul","[500,501]",1,2015-09-03,"Die Bewältigung der Flüchtlingskrise sei sehr wohl eine Aufgabe für die gesamte EU und nicht nur ein   deutsches Problem   ","CDU",145806,"C107"
"Neoliberale","[100,105]",-1,2015-09-11,"Neoliberale befürworten offene Grenzen  weil sie sich durch Migration Druck auf Löhne versprechen ","NA",121071,"C108"
"Klaus F. Zimmermann","[600,604]",1,2015-09-11,"Deshalb müsste die EU über zirkuläre Arbeitsmigration nachdenken  befristete Verträge mit Menschen etwa vom Westbalkan ","NA",121071,"C109"
"Martin Reeh","[500,503]",1,2015-09-06," Und drittens wäre es gut  sie kümmerten sich um die Fluchtursachen ebenso wie um die Flüchtlinge ","NA",109403,"C110"
"Anne Hidalgo","[700,705]",1,2015-09-14," Wir  die Städte Europas  heißen die Flüchtlinge willkommen ","NA",141051,"C111"
"Spyros Galinos","[700,705]",1,2015-09-14," Wir  die Städte Europas  heißen die Flüchtlinge willkommen ","NA",141051,"C112"
"Ada Colau","[700,705]",1,2015-09-14," Wir  die Städte Europas  heißen die Flüchtlinge willkommen ","NA",141051,"C113"
"Jean-Claude Juncker","[500,501]",1,2015-09-07,"Deutschland wird auch künftig die meisten Flüchtlinge in Europa aufnehmen  Dies geht aus den Plänen hervor  die EU Kommissionspräsident Jean Claude Juncker am Mittwoch in Straßburg vorstellen will ","NA",115238,"C114"
"Angela Merkel","[500,501]",1,2015-09-07,"Trotz dieser Probleme unterstützt Merkel die Brüsseler Pläne  Junckers Rede am Mittwoch werde gerade in den osteuropäischen Staaten eine   gewisse Dynamik   entfachen  zeigte sich die Kanzlerin vorsichtig optimistisch","CDU",115238,"C115"
"Mürvet Öztürk","[300,302,600,601]",1,2015-09-09,"Wir haben uns zum Beispiel zu wenig um niedrigschwellige Deutschkurse in den Erstaufnahmeeinrichtungen oder die Einbeziehung auf dem Arbeitsmarkt gekümmert ","Green",119333,"C116"
"Mürvet Öztürk","[500,504]",-1,2015-09-09,"Ich halte die Ausweitung der sicheren Herkunftsstaaten  die aktuell diskutiert wird  für Unfug ","Green",119333,"C117"
"EU","[500,501]",1,2015-09-07,"EU plant Umverteilung mit Hintertür","NA",115238,"C118"
"Gregor Gysi","[500,503]",1,2015-09-09," Krieg muss überwunden werden  wenn man nicht will  dass Menschen fliehen ","Left",119364,"C119"
"Angela Merkel","[300,399]",1,2015-09-09,"Wir sollten von Anfang an der Integration allerhöchste Priorität einräumen ","CDU",119364,"C120"
"Angela Merkel","[200,207,800,812]",1,2015-09-09,"Abgelehnte Asylbewerber werde Deutschland in Zukunft   schneller und konsequenter   als bislang abschieben ","CDU",119364,"C121"
"Angela Merkel","[700,714]",1,2015-09-09,"Parallelgesellschaften werde sie nicht zulassen  fügte sie hinzu  ","CDU",119364,"C122"
"Max Straubinger","[200,207]",1,2015-09-09,"Der Parlamentarische Geschäftsführer der CSU im Bundestag will syrische Flüchtlinge zurückschicken ","CSU",119376,"C123"
"LUCIA ALEKNA-HANSEN","[800,801]",1,2015-09-07," Ich finde es besser  sich in Fragen zur Geschlechtergerechtigkeit an das Grundgesetz zu halten    LUCIA ALEKNA HANSEN","NA",115293,"C124"
"MARC SCHLICHTHERLE","[800,804,805]",1,2015-09-07,"Des weiteren brauchen wir finanziell und personell gut ausgestattete öffentliche Institutionen  die die dauerhaften Herausforderungen annehmen  die durch die flüchtenden Menschen gestellt werden und eben nicht von permanenten Freiwilligen bewältigt werden können ","NA",115293,"C125"
"MARC SCHLICHTHERLE","[800,805]",1,2015-09-07,"Es braucht außerdem sehr viel Geld und sehr viel Zeit  Beides muss investiert werden","NA",115293,"C126"
"François Hollande","[500,501]",1,2015-09-07,"Zusammen mit Deutschland wird Frankreich darauf bestehen  dass bei der Aufteilung von rund         Flüchtlingen  vorwiegend aus Syrien    obligatorisch   jedes Mitgliedsland nach einem vom EU Kommissionspräsident Juncker festgelegten Schlüssel seinen Anteil leistet  Sein Land sei bereit dazu  betonte Hollande  der zusätzlich        Flüchtlinge aufnehmen will ","NA",115294,"C127"
"Große Koalition","[800,805]",1,2015-09-07,"Große Koalition einig  Ausgaben werden zunächst verdoppelt","NA",115316,"C128"
"Angela Merkel","[500,501,800,803]",1,2015-09-07,"Merkel forderte nun auch eine   Kraftanstrengung der Europäischen Union    Wichtig sei eine   solidarische und faire Verteilung der Flüchtlinge    sagte sie ","CDU",115316,"C129"
"Bundesregierung","[800,805]",1,2015-09-07,"Demnach wird  der Bund die Mittel für Flüchtlinge im Haushalt      um   Milliarden Euro erhöhen ","NA",115316,"C130"
"Bundesregierung","[200,202,800,807]",1,2015-09-07,"Um den Bau neuer Asylbewerberunterkünfte zu beschleunigen  plant die Bundesregierung  Bauvorschriften zu lockern ","NA",115321,"C131"
"Angela Merkel","[800,807]",1,2015-09-07,"Bundeskanzlerin Angela Merkel sagte    Deutsche Gründlichkeit ist super  aber es wird jetzt deutsche Flexibilität gebraucht  ","CDU",115321,"C132"
"UWE BARKOW","[700,702]",1,2015-09-09,"Genau jetzt erwartet man klare Worte aller VertreterInnen der führenden Religionen gegen diese unmenschliche Behandlung der Schwächsten ","NA",119424,"C133"
"Bekir Altas","[300,314]",1,2015-09-10,"Zudem sollten an islamischen Privatschulen Plätze für Flüchtlingskinder geschaffen werden ","NA",124444,"C134"
"Große Koalition","[500,504]",1,2015-09-08,"Die Große Koalition will das Kosovo  Albanien und Montenegro zu sicheren Herkunftsstaaten erklären und damit die Ablehnung von Asylbewerbern aus diesen Ländern vereinfachen ","NA",138110,"C135"
"Feine Sahne  Fischfilet","[700,705]",1,2015-09-04,"Und am heutigen Samstag spielt die Skapunk Band Feine Sahne Fischfilet mit den Donots in Bitterfeld  um Flüchtlinge willkommen zu heißen   auch diese beiden Bands sind unter den Unterzeichnern ","NA",132028,"C136"
"Donots","[700,705]",1,2015-09-04,"Und am heutigen Samstag spielt die Skapunk Band Feine Sahne Fischfilet mit den Donots in Bitterfeld  um Flüchtlinge willkommen zu heißen   auch diese beiden Bands sind unter den Unterzeichnern ","NA",132028,"C137"
"Udo Lindenberg","[700,703]",-1,2015-09-04,"Udo Lindenberg hat ein Konzert am    Oktober vor dem Reichstag angekündigt   für die bunte Republik  gegen Flüchtlingshass  gegen die Idioten  die da rumstolpern    wie er sagte ","NA",132028,"C138"
"Breitkopf","[700,708]",1,2015-09-04,"Gleichzeitig richtet sich der Appell auch an die Zivilgesellschaft  die mehr als je gebraucht werde ","NA",132028,"C139"
